Disease,Precaution,Source
GERD,Elevate the head of your bed by 6-8 inches,static
GERD,Avoid trigger foods like spicy fatty and acidic foods,static
GERD,Maintain a healthy weight,static
Gastroenteritis,Stay well hydrated with clear fluids and oral rehydration solutions,static
Gastroenteritis,Rest and allow your body to recover,static
Gastroenteritis,Start with bland foods like rice bananas and toast,static
Gastroenteritis,Avoid dairy products until fully recovered,static
Gastroenteritis,Wash hands thoroughly and frequently,static
Heart attack,Call emergency services immediately if symptoms occur,static
Heart attack,Take prescribed cardiac medications without missing doses,static
Heart attack,Follow a heart-healthy diet low in saturated fat and sodium,static
Heart attack,Participate in cardiac rehabilitation as recommended,static
Heart attack,Exercise regularly as approved by your cardiologist,static
Hepatitis B,Take antiviral medications as prescribed by your doctor,static
Hepatitis B,Avoid alcohol completely to protect your liver,static
Hepatitis B,Get regular liver function and viral load tests,static
Hepatitis B,Practice safe sex and inform partners of your status,static
Hepatitis B,Do not share razors toothbrushes or needles,static
Hepatitis C,Complete the full course of antiviral treatment as prescribed,static
Hepatitis C,Avoid alcohol consumption to protect liver health,static
Hepatitis C,Get regular monitoring of liver function,static
Hepatitis C,Do not share personal items that may have blood on them,static
Hepatitis C,Practice safe sex and inform partners,static
Hepatitis D,Follow treatment plan for both Hepatitis B and D,static
Hepatitis D,Avoid alcohol and liver-toxic substances,static
Hepatitis D,Get regular liver monitoring and ultrasounds,static
Hepatitis D,Practice safe sex and do not share needles,static
Hepatitis D,Ensure household contacts are vaccinated against Hepatitis B,static
Hepatitis E,Rest and stay well hydrated,static
Hepatitis E,Avoid alcohol during recovery,static
Hepatitis E,Eat a balanced low-fat diet,static
Hepatitis E,Practice good hand hygiene especially before eating,static
Hepatitis E,Drink only safe purified water,static
Hypertension ,Take blood pressure medications as prescribed,static
Hypertension ,Follow the DASH diet (low sodium high potassium),static
Hypertension ,Reduce sodium intake to less than 2300 mg per day,static
Hypertension ,Exercise regularly for at least 30 minutes most days,static
Hypertension ,Maintain a healthy weight,static
Hyperthyroidism,Take prescribed anti-thyroid medications as directed,static
Hyperthyroidism,Follow up regularly with your endocrinologist,static
Hyperthyroidism,Limit iodine intake as recommended by your doctor,static
Hyperthyroidism,Avoid caffeine and other stimulants,static
Hyperthyroidism,Get adequate rest and manage stress,static
Hypoglycemia,Carry fast-acting glucose or sugary snacks at all times,static
Hypoglycemia,Eat regular meals and snacks to maintain blood sugar,static
Hypoglycemia,Monitor blood sugar levels frequently,static
Hypoglycemia,Wear a medical alert bracelet,static
Hypoglycemia,Teach family and friends how to help during an episode,static
Hypothyroidism,Take thyroid hormone replacement medication daily as prescribed,static
Hypothyroidism,Take medication on an empty stomach 30-60 minutes before breakfast,static
Hypothyroidism,Get regular thyroid function tests,static
Hypothyroidism,Do not skip doses of thyroid medication,static
Hypothyroidism,Maintain regular exercise to boost metabolism,static
Impetigo,Keep the affected areas clean with soap and water,static
Impetigo,Apply prescribed antibiotic ointment as directed,static
Impetigo,Cover sores with bandages to prevent spreading,static
Impetigo,Wash hands frequently especially after touching sores,static
Impetigo,Do not share towels clothing or personal items,static
Jaundice,Rest adequately and avoid strenuous activities,static
Jaundice,Stay well hydrated with plenty of fluids,static
Jaundice,Follow a low-fat easy-to-digest diet,static
Jaundice,Avoid alcohol completely,static
Jaundice,Take prescribed medications as directed,static
Malaria,Complete the full course of antimalarial treatment,static
Malaria,Rest and stay well hydrated,static
Malaria,Take acetaminophen for fever (avoid aspirin),static
Malaria,Use mosquito nets treated with insecticide,static
Malaria,Apply insect repellent containing DEET,static
Migraine,Identify and avoid your personal migraine triggers,static
Migraine,Take prescribed medications at the first sign of a migraine,static
Migraine,Rest in a dark quiet room during an attack,static
Migraine,Apply cold compresses to your forehead,static
Migraine,Maintain a regular sleep schedule,static
Osteoarthristis,Maintain a healthy weight to reduce joint stress,static
Osteoarthristis,Exercise regularly with low-impact activities,static
Osteoarthristis,Use hot or cold therapy for pain relief,static
Osteoarthristis,Take prescribed pain medications as directed,static
Osteoarthristis,Use assistive devices like canes or braces if needed,static
Paralysis (brain hemorrhage),Follow rehabilitation program as prescribed,static
Paralysis (brain hemorrhage),Attend physical occupational and speech therapy regularly,static
Paralysis (brain hemorrhage),Take medications to prevent further strokes,static
Paralysis (brain hemorrhage),Manage blood pressure and other risk factors,static
Paralysis (brain hemorrhage),Prevent falls with home safety modifications,static
Peptic ulcer diseae,Take prescribed proton pump inhibitors or antibiotics,static
Peptic ulcer diseae,Avoid NSAIDs like aspirin and ibuprofen,static
Peptic ulcer diseae,Quit smoking to promote healing,static
Peptic ulcer diseae,Limit alcohol consumption,static
Peptic ulcer diseae,Eat smaller more frequent meals,static
Pneumonia,Take prescribed antibiotics and complete the full course,static
Pneumonia,Get plenty of rest to allow your body to heal,static
Pneumonia,Stay well hydrated with water and warm fluids,static
Pneumonia,Use a humidifier to ease breathing,static
Pneumonia,Take fever-reducing medications as needed,static
Psoriasis,Keep skin moisturized with fragrance-free creams,static
Psoriasis,Apply prescribed topical treatments consistently,static
Psoriasis,Take medicated baths with oatmeal or coal tar,static
Psoriasis,Get moderate sun exposure but avoid sunburn,static
Psoriasis,Avoid triggers like stress injury and certain medications,static
Tuberculosis,Take all TB medications exactly as prescribed,static
Tuberculosis,Complete the full treatment course (usually 6-9 months),static
Tuberculosis,Cover your mouth when coughing or sneezing,static
Tuberculosis,Stay in well-ventilated areas,static
Tuberculosis,Isolate yourself during the contagious period,static
Typhoid,Complete the full course of prescribed antibiotics,static
Typhoid,Stay well hydrated with safe clean water,static
Typhoid,Rest and avoid strenuous activities,static
Typhoid,Eat small frequent easily digestible meals,static
Typhoid,Practice strict hand hygiene,static
Urinary tract infection,Complete the full course of prescribed antibiotics,static
Urinary tract infection,Drink plenty of water to flush out bacteria,static
Urinary tract infection,Urinate frequently and don't hold urine,static
Urinary tract infection,Wipe from front to back after using the bathroom,static
Urinary tract infection,Urinate before and after sexual activity,static
Varicose veins,Elevate your legs when resting,static
Varicose veins,Avoid standing or sitting for long periods,static
Varicose veins,Wear compression stockings as recommended,static
Varicose veins,Exercise regularly to improve circulation,static
Varicose veins,Maintain a healthy weight,static
hepatitis A,Rest and allow your body to recover,static
hepatitis A,Stay well hydrated,static
hepatitis A,Avoid alcohol completely,static
hepatitis A,Eat a balanced low-fat diet,static
hepatitis A,Practice good hand hygiene,static
